,Unnamed: 0,Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,About,IsEnglish,TokenWords
0,0,1st,A++ ,Zee TV,82757,18752951,20869786591,"Official account of Indias pioneering Hindi General Entertainment Channel in India. We celebrate the hopes and ambitions of the great Indian middle class like no other.
#zeetv #zeetvshow #youtube #entertainment #kundalibhagya #kumkumbhagya #ishqsubhanallah",True,"['Official', 'account', 'of', 'Indias', 'pioneering', 'Hindi', 'General', 'Entertainment', 'Channel', 'in', 'India', 'We', 'celebrate', 'the', 'hopes', 'and', 'ambitions', 'of', 'the', 'great', 'Indian', 'middle', 'class', 'like', 'no', 'other', 'zeetv', 'zeetvshow', 'youtube', 'entertainment', 'kundalibhagya', 'kumkumbhagya', 'ishqsubhanallah']"
1,1,2nd,A++ ,T-Series,12661,61196302,47548839843,"""Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.
T-Series is associated with music industry from past three decades, having ample catalogue of music comprising plenty of languages that covers the length & breadth of India. We believe after silence, nearest to expressing the inexpressible is Music. So, all the music lovers who believe in magic of music come join us and live the magic of music with T-Series.",True,"['Music', 'can', 'change', 'the', 'world', 'is', 'India', 'largest', 'Music', 'Label', 'Movie', 'Studio', 'believes', 'in', 'bringing', 'world', 'close', 'together', 'through', 'its', 'music', 'is', 'associated', 'with', 'music', 'industry', 'from', 'past', 'three', 'decades', 'having', 'ample', 'catalogue', 'of', 'music', 'comprising', 'plenty', 'of', 'languages', 'that', 'covers', 'the', 'length', 'breadth', 'of', 'India', 'We', 'believe', 'after', 'silence', 'nearest', 'to', 'expressing', 'the', 'inexpressible', 'is', 'Music', 'So', 'all', 'the', 'music', 'lovers', 'who', 'believe', 'in', 'magic', 'of', 'music', 'come', 'join', 'us', 'and', 'live', 'the', 'magic', 'of', 'music', 'with']"
2,3,4th,A++ ,SET India,27323,31180559,22675948293,"Sony Entertainment Television is a 24 hour Hindi General Entertainment Channel that provides complete family entertainment. A dynamic channel that responds to the diverse needs of its viewers, it offers a complete spectrum of genres from thrillers to dramas, events to comedies, game shows to dance shows and much more
Our Brand Belief is When relationship turns into partnership life looks up and leaps forward, our differences dissolve and we appreciate each other more, laugh together more and hence its a win win for all.  With our prudent story telling we continue to rule the roost with stories that are relevant, engaging and entertaining.",True,"['Sony', 'Entertainment', 'Television', 'is', 'a', '24', 'hour', 'Hindi', 'General', 'Entertainment', 'Channel', 'that', 'provides', 'complete', 'family', 'entertainment', 'A', 'dynamic', 'channel', 'that', 'responds', 'to', 'the', 'diverse', 'needs', 'of', 'its', 'viewers', 'it', 'offers', 'a', 'complete', 'spectrum', 'of', 'genres', 'from', 'thrillers', 'to', 'dramas', 'events', 'to', 'comedies', 'game', 'shows', 'to', 'dance', 'shows', 'and', 'much', 'more', 'Our', 'Brand', 'Belief', 'is', 'When', 'relationship', 'turns', 'into', 'partnership', 'life', 'looks', 'up', 'and', 'leaps', 'forward', 'our', 'differences', 'dissolve', 'and', 'we', 'appreciate', 'each', 'other', 'more', 'laugh', 'together', 'more', 'and', 'hence', 'its', 'a', 'win', 'win', 'for', 'all', 'With', 'our', 'prudent', 'story', 'telling', 'we', 'continue', 'to', 'rule', 'the', 'roost', 'with', 'stories', 'that', 'are', 'relevant', 'engaging', 'and', 'entertaining']"
3,4,5th,A++ ,WWE,36756,32852346,26273668433,The Official World Wrestling Entertainment YouTube Channel,True,"['The', 'Official', 'World', 'Wrestling', 'Entertainment', 'YouTube', 'Channel']"
4,5,6th,A++ ,Movieclips,30243,17149705,16618094724,"The Fandango MOVIECLIPS channel is the largest collection of licensed movie clips on the web. We are HUGE movie fans. We love films so much, that our genome team has gone through hundreds of movies to pick out the best moments, scenes, and famous lines from all of your favorite films. Whether it's an action, comedy, drama, western, horror film, or any other genre, Fandango MOVIECLIPS has the unforgettable moments that stay with you long after you leave the theater.",True,"['The', 'Fandango', 'MOVIECLIPS', 'channel', 'is', 'the', 'largest', 'collection', 'of', 'licensed', 'movie', 'clips', 'on', 'the', 'web', 'We', 'are', 'HUGE', 'movie', 'fans', 'We', 'love', 'films', 'so', 'much', 'that', 'our', 'genome', 'team', 'has', 'gone', 'through', 'hundreds', 'of', 'movies', 'to', 'pick', 'out', 'the', 'best', 'moments', 'scenes', 'and', 'famous', 'lines', 'from', 'all', 'of', 'your', 'favorite', 'films', 'Whether', 'it', 'an', 'action', 'comedy', 'drama', 'western', 'horror', 'film', 'or', 'any', 'other', 'genre', 'Fandango', 'MOVIECLIPS', 'has', 'the', 'unforgettable', 'moments', 'that', 'stay', 'with', 'you', 'long', 'after', 'you', 'leave', 'the', 'theater']"
5,7,8th,A++ ,ABS-CBN Entertainment,100147,12149206,17202609850,"Subscribe to ABS-CBN Entertainment channel! - http://bit.ly/ABS-CBNEntertainment  

Visit our official website! 
http://entertainment.abs-cbn.com/tv/home 
http://www.push.com.ph  

Facebook: 
http://www.facebook.com/ABSCBNnetwork  

Twitter:  
https://twitter.com/ABSCBN 
https://twitter.com/abscbndotcom 

Instagram:
http://instagram.com/abscbnonline",True,"['Subscribe', 'to', 'Entertainment', 'channel', 'Visit', 'our', 'official', 'website', 'Facebook', 'Twitter', 'Instagram']"
6,9,10th,A++ ,Zee Marathi,74607,2841811,2591830307,"Zee Marathi, the premium Marathi channel in Maharashtra was launched in the year 1999. Since its launch until 2004, the channel was popularly known as Alpha Marathi. Since its inception, the channel has formed an integral part of a maharashtrian's life, through its different genre of programs like daily soaps, game shows, talk shows, cookery, travel shows, news, films etc.

Some of the shows on the channel; widely appreciated by the viewers. These shows have contributed in developing a wide base of loyal audience for Zee Marathi.

Zee Marathi also has many significant initiatives to its credit - the Zee Gaurav Awards is the one of the most coveted award for the recognition of the best talent in the Marathi film & theatre industry.

Introduced in 2003, was the Zee Marathi Awards, a viewers choice award for voting for the best talent on the channel.

#marathi #zeemarathi #marathiserials #marathitvshow #marathicomedy #comedy #entertainment #drama",True,"['Zee', 'Marathi', 'the', 'premium', 'Marathi', 'channel', 'in', 'Maharashtra', 'was', 'launched', 'in', 'the', 'year', '1999', 'Since', 'its', 'launch', 'until', '2004', 'the', 'channel', 'was', 'popularly', 'known', 'as', 'Alpha', 'Marathi', 'Since', 'its', 'inception', 'the', 'channel', 'has', 'formed', 'an', 'integral', 'part', 'of', 'a', 'maharashtrian', 'life', 'through', 'its', 'different', 'genre', 'of', 'programs', 'like', 'daily', 'soaps', 'game', 'shows', 'talk', 'shows', 'cookery', 'travel', 'shows', 'news', 'films', 'etc', 'Some', 'of', 'the', 'shows', 'on', 'the', 'channel', 'widely', 'appreciated', 'by', 'the', 'viewers', 'These', 'shows', 'have', 'contributed', 'in', 'developing', 'a', 'wide', 'base', 'of', 'loyal', 'audience', 'for', 'Zee', 'Marathi', 'Zee', 'Marathi', 'also', 'has', 'many', 'significant', 'initiatives', 'to', 'its', 'credit', 'the', 'Zee', 'Gaurav', 'Awards', 'is', 'the', 'one', 'of', 'the', 'most', 'coveted', 'award', 'for', 'the', 'recognition', 'of', 'the', 'best', 'talent', 'in', 'the', 'Marathi', 'film', 'theatre', 'industry', 'Introduced', 'in', '2003', 'was', 'the', 'Zee', 'Marathi', 'Awards', 'a', 'viewers', 'choice', 'award', 'for', 'voting', 'for', 'the', 'best', 'talent', 'on', 'the', 'channel', 'marathi', 'zeemarathi', 'marathiserials', 'marathitvshow', 'marathicomedy', 'comedy', 'entertainment', 'drama']"
7,11,12th,A+ ,Canal KondZilla,822,39409726,19291034467,"Canal da KONDZILLA FILMES, a maior produtora de conteudo audiovisual de musica eletronica de periferia do Brasil.
Especializado em videoclipes com audiencia de mais de 1 bilhao de visualizacoes por mes.

Tel.: (11) 2385-0126 | contato@kondzilla.com
Horario de atendimento: De Seg a Sex das 10h as 19h
2019 KondZilla Filmes",False,"['Canal', 'da', 'KONDZILLA', 'FILMES', 'a', 'maior', 'produtora', 'de', 'conteudo', 'audiovisual', 'de', 'musica', 'eletronica', 'de', 'periferia', 'do', 'Brasil', 'Especializado', 'em', 'videoclipes', 'com', 'audiencia', 'de', 'mais', 'de', '1', 'bilhao', 'de', 'visualizacoes', 'por', 'mes', 'Tel', '11', 'contato', 'Horario', 'de', 'atendimento', 'De', 'Seg', 'a', 'Sex', 'das', '10h', 'as', '19h', '2019', 'KondZilla', 'Filmes']"
8,19,20th,A+ ,WorkpointOfficial,24287,17687229,14022189654,"Workpoint Official  24   Workpoint
  Playlist 

 Workpoint Official  Youtube 
  

:  
",False,"['Workpoint', 'Official', '24', 'Workpoint', 'Playlist', 'Workpoint', 'Official', 'Youtube']"
9,21,22nd,A+ ,Zee Music Company,3403,23440427,11666909155,"Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest producers and aggregators of Hindi programming in the world, with an extensive library housing over 222,000 hours of television content along with a strong presence in over 171 countries and a total viewership of 1 Billion plus people around the globe. Our Library has rights to more than 3,818 movie titles from premiere studios featuring iconic film stars, ZEEL houses the worlds largest Hindi film library.

Zee Music Company
Facebook - https://www.facebook.com/zeemusiccompany
Twitter - https://twitter.com/ZeeMusicCompany",True,"['Zee', 'Music', 'Company', 'is', 'part', 'of', 'India', 'leading', 'television', 'media', 'and', 'entertainment', 'companies', 'It', 'is', 'amongst', 'the', 'largest', 'producers', 'and', 'aggregators', 'of', 'Hindi', 'programming', 'in', 'the', 'world', 'with', 'an', 'extensive', 'library', 'housing', 'over', 'hours', 'of', 'television', 'content', 'along', 'with', 'a', 'strong', 'presence', 'in', 'over', '171', 'countries', 'and', 'a', 'total', 'viewership', 'of', '1', 'Billion', 'plus', 'people', 'around', 'the', 'globe', 'Our', 'Library', 'has', 'rights', 'to', 'more', 'than', 'movie', 'titles', 'from', 'premiere', 'studios', 'featuring', 'iconic', 'film', 'stars', 'ZEEL', 'houses', 'the', 'worlds', 'largest', 'Hindi', 'film', 'library', 'Zee', 'Music', 'Company', 'Facebook', 'Twitter']"
