,Words,Words_0,Weights_0,Words_1,Weights_1,Words_2,Weights_2,Words_3,Weights_3,Words_4,Weights_4
0,10,video,2.137931034482759,nerf,10.666666666666666,music,1.2706766917293226,video,1.0263157894736834,channel,0.4051724137931044
1,100,my,1.8965517241379295,video,4.333333333333333,channel,1.1654135338345877,live,1.0175438596491235,video,0.38793103448276095
2,200,channel,1.7586206896551735,gun,1.6666666666666667,all,0.9022556390977454,music,1.0175438596491222,youtub,0.27586206896551757
3,2011,game,0.8620689655172422,game,1.6666666666666665,movi,0.8345864661654137,more,0.9824561403508769,subscrib,0.19827586206896525
4,2012,do,0.7931034482758615,war,1.3333333333333333,entertain,0.7067669172932339,offici,0.9736842105263169,offici,0.1918103448275869
5,2014,fun,0.7758620689655172,my,1.3333333333333333,from,0.6691729323308264,perform,0.956140350877191,all,0.17456896551724244
6,2015,toy,0.7586206896551725,subscrib,1.3333333333333333,new,0.6165413533834587,vevo,0.9473684210526317,more,0.16163793103448168
7,2016,subscrib,0.7241379310344821,zombi,1.0,youtub,0.5864661654135344,interview,0.9473684210526302,new,0.15732758620689663
8,24,all,0.7068965517241378,action,1.0,song,0.5864661654135342,channel,0.03508771929824661,from,0.14439655172413726
9,30,thi,0.6206896551724137,channel,1.0,video,0.5338345864661657,india,0.03508771929824568,de,0.12068965517241412
10,3d,like,0.6034482758620692,first,1.0,ha,0.5187969924812026,danc,0.035087719298245584,welcom,0.1206896551724138
11,50,play,0.5862068965517249,make,1.0,world,0.4887218045112776,content,0.026315789473684487,my,0.11422413793103331
12,abc,me,0.5344827586206893,person,1.0,film,0.4511278195488734,im,0.026315789473684185,music,0.10775862068965453
13,about,more,0.5172413793103448,like,1.0,content,0.45112781954887227,dj,0.026315789473684174,thi,0.10560344827586168
14,accept,plea,0.5172413793103445,call,0.9999999999999999,news,0.4210526315789471,brand,0.02631578947368416,enjoy,0.09913793103448255
15,access,disney,0.5172413793103445,such,0.6666666666666667,offici,0.41353383458646653,youtub,0.017543859649123306,make,0.09698275862068959
16,account,love,0.4999999999999995,love,0.6666666666666667,show,0.3684210526315782,stream,0.017543859649122806,watch,0.09698275862068957
17,achiev,make,0.4655172413793106,sure,0.6666666666666667,more,0.36090225563909784,young,0.017543859649122806,entertain,0.09698275862068954
18,across,so,0.4482758620689654,all,0.6666666666666667,latest,0.34586466165413454,start,0.017543859649122806,game,0.09482758620689638
19,act,can,0.44827586206896525,epic,0.6666666666666667,one,0.3383458646616537,uk,0.017543859649122806,anim,0.09267241379310344
20,action,youtub,0.43103448275862066,everi,0.6666666666666666,subscrib,0.3308270676691727,lyric,0.017543859649122803,can,0.09267241379310326
21,activ,famili,0.41379310344827647,creator,0.6666666666666666,tv,0.315789473684211,band,0.0175438596491228,like,0.08836206896551745
22,actor,other,0.3793103448275864,fan,0.6666666666666666,like,0.30827067669172953,hardcor,0.017543859649122796,world,0.08405172413793044
23,address,welcom,0.3793103448275861,mail,0.6666666666666666,telugu,0.3082706766917286,me,0.017543859649122792,busi,0.08189655172413794
24,adult,not,0.36206896551724116,film,0.6666666666666666,record,0.2857142857142856,product,0.017543859649122792,everi,0.08189655172413791
25,adventur,new,0.34482758620689663,new,0.6666666666666666,artist,0.2857142857142854,gun,0.017543859649122792,me,0.08189655172413779
26,advertis,who,0.34482758620689646,meet,0.6666666666666665,bollywood,0.2706766917293237,chri,0.01754385964912279,one,0.07974137931034495
27,advic,from,0.3275862068965518,then,0.33333333333333337,thi,0.2706766917293235,concert,0.01754385964912279,here,0.07974137931034478
28,affair,kid,0.32758620689655177,life,0.33333333333333337,india,0.2706766917293231,fan,0.017543859649122785,best,0.07974137931034453
29,after,find,0.3275862068965517,watch,0.33333333333333337,best,0.27067669172932296,facebook,0.01754385964912273,la,0.07758620689655199
30,again,watch,0.32758620689655155,address,0.33333333333333337,medium,0.2255639097744364,featur,0.017543859649122702,twitter,0.07758620689655173
31,against,thank,0.3103448275862071,keep,0.33333333333333337,program,0.2255639097744359,here,0.01754385964912268,out,0.07758620689655171
32,age,music,0.3103448275862069,youtub,0.33333333333333337,comedi,0.2180451127819554,best,0.017543859649122612,do,0.07543103448275887
33,aim,want,0.29310344827586227,kind,0.33333333333333337,tamil,0.21804511278195426,subscrib,0.017543859649122223,now,0.07543103448275862
34,album,out,0.2931034482758619,do,0.33333333333333337,zee,0.2030075187969933,show,0.008771929824561722,show,0.07543103448275856
35,all,busi,0.27586206896551724,other,0.33333333333333337,hindi,0.20300751879699278,like,0.008771929824561625,plea,0.07543103448275837
36,along,some,0.27586206896551707,updat,0.33333333333333337,other,0.20300751879699272,world,0.00877192982456157,love,0.07327586206896564
37,alreadi,upload,0.27586206896551707,awesom,0.33333333333333337,over,0.2030075187969927,thi,0.008771929824561514,movi,0.07112068965517135
38,also,lego,0.25862068965517315,play,0.33333333333333337,most,0.20300751879699264,my,0.008771929824561459,content,0.06896551724137892
39,alway,also,0.25862068965517243,thi,0.33333333333333337,live,0.20300751879699253,one,0.00877192982456143,will,0.06681034482758619
40,am,everi,0.2586206896551723,real,0.33333333333333337,award,0.19548872180451113,offer,0.008771929824561427,canal,0.06465517241379298
41,amaz,email,0.24137931034482782,so,0.33333333333333337,watch,0.19548872180451088,age,0.008771929824561419,play,0.06465517241379296
42,america,show,0.24137931034482774,out,0.33333333333333337,industri,0.18796992481203048,info,0.008771929824561417,en,0.06250000000000025
43,among,will,0.24137931034482754,feel,0.33333333333333337,also,0.1879699248120303,angel,0.008771929824561417,most,0.062499999999999986
44,android,world,0.24137931034482754,enjoy,0.33333333333333337,product,0.18796992481202995,partnership,0.00877192982456141,kid,0.06249999999999998
45,angel,day,0.24137931034482746,larg,0.3333333333333333,hi,0.18796992481202993,collect,0.008771929824561406,instagram,0.062499999999999875
46,ani,best,0.2241379310344828,will,0.3333333333333333,compani,0.18045112781954917,uniqu,0.008771929824561406,inquiri,0.06034482758620689
